twitter_id	label	user_id	location	url	protected	verified	followers_count	friends_count	listed_count	favourites_count	statuses_count	created_at	user_status	reason
656955120626880512	false	1942819082		0									0	"403 Forbidden
63 - User has been suspended."
615689290706595840	true	44945327		1	0.0	1.0	2401614.0	111.0	2958.0	289.0	18630.0	2009-06-05 17:29:55+00:00	1	
613404935003217920	false	14511951		1	0.0	1.0	11353931.0	5599.0	82415.0	1140.0	595007.0	2008-04-24 14:07:28+00:00	1	
731166399389962242	unverified	431917957		0									0	"403 Forbidden
63 - User has been suspended."
714598641827246081	unverified	94215989		0	0.0	1.0	241717.0	1085.0	2041.0	37019.0	18043.0	2009-12-03 00:40:07+00:00	1	
614467824313106432	true	605822673		0									0	"403 Forbidden
63 - User has been suspended."
715515982584881152	unverified	18643437	London	1	0.0	1.0	1184702.0	788.0	7216.0	8488.0	80766.0	2009-01-05 20:04:23+00:00	1	
693315824132685824	non-rumor	16374678		1	0.0	1.0	1162388.0	486.0	6303.0	4256.0	253011.0	2008-09-20 04:22:30+00:00	1	
693843042546106369	non-rumor	30313925	Washington, DC	1	0.0	1.0	12301323.0	227.0	56350.0	0.0	28250.0	2009-04-10 21:10:30+00:00	1	
622891631293935616	false	26900055		0	0.0	0.0	158842.0	5376.0	955.0	38312.0	303051.0	2009-03-27 00:23:22+00:00	1	
692630756548591616	non-rumor	5402612	London, UK	1	0.0	1.0	48971604.0	3.0	144456.0	0.0	37841.0	2007-04-22 14:42:37+00:00	1	
693265096278163456	non-rumor	28785486	New York City / Worldwide	1	0.0	1.0	17117585.0	487.0	64422.0	39.0	376897.0	2009-04-04 12:40:32+00:00	1	
553589051044151296	true	868112707	worldwide	1	0.0	1.0	176684.0	339.0	3798.0	262.0	33299.0	2012-10-08 14:43:38+00:00	1	
553590835850514433	true	7587032	London, UK	1	0.0	1.0	7508936.0	23.0	29008.0	1.0	509902.0	2007-07-19 14:42:53+00:00	1	
622858454949040128	false	23173615		0									0	"404 Not Found
50 - User not found."
656870311057575936	false	91478624	New York, NY	1	0.0	1.0	17482566.0	5140.0	61511.0	10267.0	365243.0	2009-11-21 02:09:57+00:00	1	
616311563071434753	true	26659703	New York, NY	1	0.0	1.0	167839.0	290.0	1576.0	98952.0	23702.0	2009-03-26 01:55:43+00:00	1	
641666167992647681	non-rumor	7905122	London, UK	1	0.0	1.0	2447494.0	21434.0	29713.0	149.0	35703.0	2007-08-02 11:23:13+00:00	1	
525060425184858112	true	428333	Everywhere	1	0.0	1.0	62097580.0	120.0	191408.0	27.0	77394.0	2007-01-02 01:48:14+00:00	1	
672513234419638273	false	28785486	New York City / Worldwide	1	0.0	1.0	17117585.0	487.0	64422.0	39.0	376897.0	2009-04-04 12:40:32+00:00	1	
544382892378714113	true	1020058453		1	0.0	1.0	1395962.0	4767.0	11942.0	2496.0	204750.0	2012-12-18 15:46:37+00:00	1	
681824512120324096	non-rumor	22411875	New York	1	0.0	1.0	1158321.0	454.0	13232.0	1577.0	26355.0	2009-03-01 21:54:49+00:00	1	
620835698514464768	false	989429790		0									0	"403 Forbidden
63 - User has been suspended."
626898253900943360	false	524657792		0									0	"403 Forbidden
63 - User has been suspended."
618804516578680832	false	759251		1	0.0	1.0	56316699.0	1102.0	152021.0	1403.0	366303.0	2007-02-09 00:35:02+00:00	1	
672632899921833984	false	999453985	Arizona, USA	0	0.0	0.0	106732.0	39480.0	533.0	326234.0	647005.0	2012-12-09 14:57:08+00:00	1	
553588178687655936	true	14511951		1	0.0	1.0	11353931.0	5599.0	82415.0	1140.0	595007.0	2008-04-24 14:07:28+00:00	1	
594687353937100801	false	2470325805		0									0	"403 Forbidden
63 - User has been suspended."
613016993692798977	false	1291770157		0	0.0	1.0	223483.0	990.0	1688.0	22677.0	245696.0	2013-03-23 15:38:36+00:00	1	
663385747177775105	false	2425231		0	0.0	0.0	3354449.0	0.0	6118.0	62.0	757482.0	2007-03-27 07:29:54+00:00	1	 
766715993385267201	non-rumor	14075928		1	0.0	1.0	11726637.0	5.0	68243.0	3.0	86693.0	2008-03-04 02:48:37+00:00	1	 
693141729529184256	non-rumor	30313925	Washington, DC	1	0.0	1.0	12301243.0	227.0	56353.0	0.0	28250.0	2009-04-10 21:10:30+00:00	1	 
524966904885428226	true	64643056		1	0.0	1.0	2966734.0	700.0	20821.0	2147.0	414673.0	2009-08-11 06:12:45+00:00	1	
613393657161510913	false	16374678		1	0.0	1.0	1162388.0	486.0	6303.0	4256.0	253011.0	2008-09-20 04:22:30+00:00	1	
544374511194632192	true	28785486	New York City / Worldwide	1	0.0	1.0	17117586.0	487.0	64422.0	39.0	376897.0	2009-04-04 12:40:32+00:00	1	
706665777332621314	unverified	14437914	Arlington, VA | New York, NY	1	0.0	1.0	1194491.0	111684.0	14964.0	19053.0	206981.0	2008-04-18 21:57:17+00:00	1	
